seqnames,start,end,width,strand,L,area,beta,stat,pval,qval,index.start,index.end,index.width
scaffold_293,96971,98363,1393,*,52,26.8982216920887,-1.18274841713828,-20.4877149659501,4.13308534821244e-05,0.000777678614008434,2827634,2827685,52
scaffold_1454,812,1762,951,*,51,12.8419541635096,-0.9845524848147,-19.8178239968871,4.13308534821244e-05,0.000777678614008434,1052835,1052885,51
scaffold_2,972070,973430,1361,*,61,28.660582739332,1.32124874306642,19.7378459773924,4.13308534821244e-05,0.000777678614008434,1850229,1850289,61
scaffold_9,1144544,1145420,877,*,19,6.22506668177828,-1.16439203933094,-19.7254350565716,4.13308534821244e-05,0.000777678614008434,5214475,5214493,19
scaffold_119,250853,254909,4057,*,133,37.0758275000588,-0.933030977971415,-19.7200755773466,4.13308534821244e-05,0.000777678614008434,538003,538135,133
scaffold_451,37726,38510,785,*,38,12.1824854956079,-1.00512218302663,-19.6317627434522,4.13308534821244e-05,0.000777678614008434,3805216,3805253,38
scaffold_16,1635126,1636016,891,*,48,23.7232076841093,1.43745388749625,19.6165238444192,4.13308534821244e-05,0.000777678614008434,1308239,1308286,48
scaffold_99,308690,312466,3777,*,122,24.7678633916186,0.493866182014046,19.5639348388871,4.13308534821244e-05,0.000777678614008434,5410416,5410537,122
scaffold_80,26162,27232,1071,*,27,11.9108987571909,-1.29373162718793,-19.5383204805912,4.13308534821244e-05,0.000777678614008434,4991661,4991687,27
scaffold_100,410581,411574,994,*,38,9.4190443884984,-1.01558278624165,-19.2290110262975,4.13308534821244e-05,0.000777678614008434,205708,205745,38
scaffold_1579,48,194,147,*,11,4.66019038806747,-1.18068846539258,-19.1288880963426,4.13308534821244e-05,0.000777678614008434,1241774,1241784,11
scaffold_46,324647,325246,600,*,46,19.1001917498038,-1.29823828919179,-19.1200198672289,4.13308534821244e-05,0.000777678614008434,3823151,3823196,46
scaffold_55,295113,296649,1537,*,98,42.1720045318718,1.09287473047927,19.0351109739401,4.13308534821244e-05,0.000777678614008434,4216091,4216188,98
scaffold_1566,942,1302,361,*,11,6.73992689566909,-1.8995597582778,-19.0163044380228,4.13308534821244e-05,0.000777678614008434,1229598,1229608,11
scaffold_177,211630,213575,1946,*,65,18.5526153272463,-1.52665184014967,-18.9477987501027,4.13308534821244e-05,0.000777678614008434,1547040,1547104,65
scaffold_7,588307,588763,457,*,13,5.76256694306941,-1.45826578327467,-18.901867531712,4.13308534821244e-05,0.000777678614008434,4662199,4662211,13
scaffold_62,731625,732150,526,*,32,11.9937064718057,-1.22637877231184,-18.8482876533249,4.13308534821244e-05,0.000777678614008434,4471993,4472024,32
scaffold_5,506882,507574,693,*,31,13.8351283240459,-1.11408394217975,-18.7506611966414,4.13308534821244e-05,0.000777678614008434,3971807,3971837,31
scaffold_36,358698,359957,1260,*,46,21.8127650933204,-1.81967730997042,-18.7473370686838,4.13308534821244e-05,0.000777678614008434,3321716,3321761,46
scaffold_86,232491,233249,759,*,21,6.97291667542016,-1.15096090554049,-18.7160777225926,4.13308534821244e-05,0.000777678614008434,5112774,5112794,21
scaffold_5,504593,505576,984,*,27,8.62644706868566,-1.12781691596211,-18.7084678489513,4.13308534821244e-05,0.000777678614008434,3971761,3971787,27
scaffold_968,1133,3525,2393,*,141,41.0372395651522,0.777772727652907,18.6977439537185,4.13308534821244e-05,0.000777678614008434,5364393,5364533,141
scaffold_69,218894,219781,888,*,27,11.5346726303458,-1.16763067261523,-18.5672394416863,4.13308534821244e-05,0.000777678614008434,4628872,4628898,27
scaffold_76,574134,574630,497,*,34,7.403875384116,-0.753982184101059,-18.5103001046193,4.13308534821244e-05,0.000777678614008434,4855461,4855494,34
scaffold_48,459432,459519,88,*,7,3.8033454121868,-2.12439355594804,-18.4859480747311,4.13308534821244e-05,0.000777678614008434,3901078,3901084,7
scaffold_230,185282,185979,698,*,52,20.3667779654706,-1.11578142880671,-18.4700249520614,4.13308534821244e-05,0.000777678614008434,2309650,2309701,52
scaffold_6,423948,424529,582,*,20,8.59207716582322,-1.3215216449847,-18.3774879053588,4.13308534821244e-05,0.000777678614008434,4350191,4350210,20
scaffold_4,1252710,1253159,450,*,34,12.5030476586512,-1.01887522318934,-18.2909308463867,4.13308534821244e-05,0.000777678614008434,3537612,3537645,34
scaffold_73,50443,51223,781,*,38,11.209964858047,-0.889672686731434,-18.2813138261946,4.13308534821244e-05,0.000777678614008434,4773683,4773720,38
scaffold_73,83162,83876,715,*,22,9.55516047110005,-1.20754696986791,-18.1687883293339,4.13308534821244e-05,0.000777678614008434,4774885,4774906,22
scaffold_56,645029,647048,2020,*,62,14.1584379713527,-0.883241616504754,-18.1426172674207,4.13308534821244e-05,0.000777678614008434,4253734,4253795,62
scaffold_814,3281,4431,1151,*,25,9.36231138528669,-1.14404884158568,-18.0321751018698,4.13308534821244e-05,0.000777678614008434,5029053,5029077,25
scaffold_94,571451,572059,609,*,24,12.6272180219104,-1.6487285779338,-17.8800310716701,4.13308534821244e-05,0.000777678614008434,5331721,5331744,24
scaffold_20,222791,223251,461,*,20,7.99157402622998,1.32925384469003,17.772994170114,4.13308534821244e-05,0.000777678614008434,1933673,1933692,20
scaffold_179,104201,104809,609,*,30,15.3209452559358,-1.52213091547923,-17.7695609208221,4.13308534821244e-05,0.000777678614008434,1562598,1562627,30
scaffold_36,203270,204205,936,*,32,8.58123786770058,-1.09252318071257,-17.603136143487,4.13308534821244e-05,0.000777678614008434,3316882,3316913,32
scaffold_44,597628,598502,875,*,27,12.4256567963693,-1.11993005728418,-17.59760322453,4.13308534821244e-05,0.000777678614008434,3754609,3754635,27
scaffold_204,117885,118974,1090,*,25,11.6123428699799,-1.32221413675485,-17.5458432071127,4.13308534821244e-05,0.000777678614008434,2005864,2005888,25
scaffold_108,248729,249522,794,*,32,7.25128428743868,-0.929912574516846,-17.5123082305871,4.13308534821244e-05,0.000777678614008434,324856,324887,32
scaffold_36,115004,115894,891,*,38,13.5540208085116,0.843372095409421,17.5082930040709,4.13308534821244e-05,0.000777678614008434,3314048,3314085,38
scaffold_274,3347,4727,1381,*,42,9.33875340622506,-0.615654790462267,-17.3780057408771,4.13308534821244e-05,0.000777678614008434,2678618,2678659,42
scaffold_149,361920,362234,315,*,19,5.39873336217258,-1.06454564342832,-17.3635494635746,4.13308534821244e-05,0.000777678614008434,1100369,1100387,19
scaffold_177,209424,210384,961,*,42,15.4082720495786,-1.15492244856713,-17.3252143809009,4.13308534821244e-05,0.000777678614008434,1546936,1546977,42
scaffold_145,102823,104357,1535,*,54,13.9013901109826,-0.860939041762934,-17.2852279125706,4.13308534821244e-05,0.000777678614008434,1044066,1044119,54
scaffold_107,488726,489384,659,*,23,6.61079915017378,-1.09376994487097,-17.1844715873261,4.13308534821244e-05,0.000777678614008434,316246,316268,23
scaffold_20,306413,306920,508,*,13,6.66611321492164,-1.42429914728528,-17.1391331605998,4.13308534821244e-05,0.000777678614008434,1935756,1935768,13
scaffold_1,3691250,3692070,821,*,40,23.5487329219724,-1.44926698850891,-17.0840331350374,4.13308534821244e-05,0.000777678614008434,109833,109872,40
scaffold_24,909832,910407,576,*,14,6.38163052699364,-1.34007887130739,-16.9928151202206,4.13308534821244e-05,0.000777678614008434,2381227,2381240,14
scaffold_74,490558,490963,406,*,21,4.21632531007732,-0.790027203808824,-16.9840643654956,4.13308534821244e-05,0.000777678614008434,4807040,4807060,21
scaffold_168,107819,108785,967,*,23,6.70232826286852,-0.966398617486601,-16.927448973964,4.13308534821244e-05,0.000777678614008434,1403430,1403452,23
scaffold_867,7857,8322,466,*,27,13.2806484276979,-1.36355688250521,-16.9234123613962,4.13308534821244e-05,0.000777678614008434,5124214,5124240,27
scaffold_13,572674,574477,1804,*,55,14.0106883835592,-0.798533402832539,-16.9123167029101,4.13308534821244e-05,0.000777678614008434,749458,749512,55
scaffold_1331,1565,1757,193,*,12,1.28588645665626,-1.21282770998885,-16.7691420607835,4.13308534821244e-05,0.000777678614008434,836035,836046,12
scaffold_104,66362,67074,713,*,39,10.9692828272903,-0.899697015891892,-16.7406854364745,4.13308534821244e-05,0.000777678614008434,259271,259309,39
scaffold_5,492131,493915,1785,*,95,21.7019847207221,-0.863968881287576,-16.7268740481888,4.13308534821244e-05,0.000777678614008434,3971422,3971516,95
scaffold_20,184760,185142,383,*,19,9.88029673234013,1.383022203226,16.6950532037877,4.13308534821244e-05,0.000777678614008434,1933028,1933046,19
scaffold_5,398792,399303,512,*,23,6.42039602512172,-1.10486597874856,-16.6656323642023,4.13308534821244e-05,0.000777678614008434,3968651,3968673,23
scaffold_23,674785,675120,336,*,17,8.76368589014304,-1.65393444350875,-16.5615374246866,4.13308534821244e-05,0.000777678614008434,2279892,2279908,17
scaffold_183,200152,200715,564,*,23,9.59847235826014,-1.12764354377098,-16.5252586951151,4.13308534821244e-05,0.000777678614008434,1643621,1643643,23
scaffold_177,215423,215952,530,*,18,4.60898988300624,-0.856382556355475,-16.4842371544752,4.13308534821244e-05,0.000777678614008434,1547172,1547189,18
scaffold_51,158242,158983,742,*,33,13.5811482719411,0.953049254966524,16.4771853814425,4.13308534821244e-05,0.000777678614008434,4087212,4087244,33
scaffold_23,1306759,1307356,598,*,34,12.6885234476298,-1.05441281198877,-16.3526301880368,4.13308534821244e-05,0.000777678614008434,2299039,2299072,34
scaffold_177,203021,203704,684,*,31,6.13882437763454,-0.723998531751696,-16.3497822717966,4.13308534821244e-05,0.000777678614008434,1546663,1546693,31
scaffold_100,384911,385867,957,*,35,12.2677171477837,-0.844796928682745,-16.2948898129982,4.13308534821244e-05,0.000777678614008434,205060,205094,35
scaffold_677,2589,3858,1270,*,49,16.5995103888625,-0.943441097813928,-16.2191479402061,4.13308534821244e-05,0.000777678614008434,4598593,4598641,49
scaffold_138,104527,105519,993,*,34,9.8575296519293,-0.956142620772376,-16.2028636731292,4.13308534821244e-05,0.000777678614008434,893578,893611,34
scaffold_1372,367,2131,1765,*,46,16.2588591281271,-0.968057878963718,-16.1887453272113,4.13308534821244e-05,0.000777678614008434,891215,891260,46
scaffold_15,409170,410099,930,*,29,9.53742897260764,-1.00321209382025,-16.0631752012503,4.13308534821244e-05,0.000777678614008434,1113421,1113449,29
scaffold_204,189659,190733,1075,*,44,11.9130289254916,0.706826373092519,16.0187201477021,4.13308534821244e-05,0.000777678614008434,2007930,2007973,44
scaffold_47,90095,90611,517,*,23,10.1452705912434,-1.37148980569819,-15.9475562549625,4.13308534821244e-05,0.000777678614008434,3854361,3854383,23
scaffold_571,9451,10560,1110,*,32,7.43471440623751,-0.925916571386313,-15.8834751942095,4.13308534821244e-05,0.000777678614008434,4287087,4287118,32
scaffold_2,2151986,2152590,605,*,39,13.4487349783164,1.11052022258759,15.7129395652206,4.13308534821244e-05,0.000777678614008434,1882463,1882501,39
scaffold_20,1407849,1408836,988,*,40,9.74602398176894,-0.880347118006555,-15.7028912734398,4.13308534821244e-05,0.000777678614008434,1968195,1968234,40
scaffold_10,1127244,1132084,4841,*,162,27.4059180679741,0.605785392147758,15.6446324749013,4.13308534821244e-05,0.000777678614008434,165148,165309,162
scaffold_162,365398,367040,1643,*,54,14.9803802302996,-0.96663169172045,-15.5918030386445,4.13308534821244e-05,0.000777678614008434,1344500,1344553,54
scaffold_2,626335,627362,1028,*,35,16.2500476699391,-1.22969120335851,-15.5359431564424,4.13308534821244e-05,0.000777678614008434,1841637,1841671,35
scaffold_5,3097524,3098069,546,*,21,2.76062680358134,-0.648618274072865,-15.4257027753683,4.13308534821244e-05,0.000777678614008434,4049614,4049634,21
scaffold_104,418957,420763,1807,*,66,20.6365359492872,0.764957744887122,15.4185934403019,4.13308534821244e-05,0.000777678614008434,268775,268840,66
scaffold_81,608476,608710,235,*,14,8.00008644597323,-1.70717484203878,-15.2597223542327,4.13308534821244e-05,0.000777678614008434,5027227,5027240,14
scaffold_96,248364,248800,437,*,14,4.89798494223199,-1.3222259676998,-15.1449415331501,4.13308534821244e-05,0.000777678614008434,5355163,5355176,14
scaffold_755,6567,7733,1167,*,52,20.3976170433232,-1.23450005902336,-15.112285487164,4.13308534821244e-05,0.000777678614008434,4835864,4835915,52
scaffold_133,444118,445099,982,*,38,11.8145691346913,-1.0837012019693,-15.0499050196224,4.13308534821244e-05,0.000777678614008434,835506,835543,38
scaffold_186,4049,4632,584,*,37,14.6427531707582,1.1050154100868,15.0040189958621,4.13308534821244e-05,0.000777678614008434,1665690,1665726,37
scaffold_41,261439,261723,285,*,17,3.47460157826233,-0.997395482328822,-14.9761998676913,4.13308534821244e-05,0.000777678614008434,3632392,3632408,17
scaffold_204,174566,175080,515,*,34,13.8461578915567,1.22152198517907,14.9052590845975,4.13308534821244e-05,0.000777678614008434,2007330,2007363,34
scaffold_58,641452,641643,192,*,18,6.59797512273305,-1.4342548109298,-14.8899687392986,4.13308534821244e-05,0.000777678614008434,4307240,4307257,18
scaffold_166,232086,232679,594,*,32,10.6442394608684,1.03302267748018,14.8794931232574,4.13308534821244e-05,0.000777678614008434,1385691,1385722,32
scaffold_125,377884,378380,497,*,28,7.38570974123395,-0.826127759574019,-14.8730836898808,4.13308534821244e-05,0.000777678614008434,675141,675168,28
scaffold_1,2089969,2090508,540,*,25,10.7307680478687,-1.2855862168259,-14.8385782821275,4.13308534821244e-05,0.000777678614008434,61411,61435,25
scaffold_21,481288,482823,1536,*,8,6.40109637834765,-1.98520369536351,-14.7684734023949,4.13308534821244e-05,0.000777678614008434,2058777,2058784,8
scaffold_57,457382,457970,589,*,15,5.49963954683816,1.14918054539628,14.6784753903814,4.13308534821244e-05,0.000777678614008434,4275498,4275512,15
scaffold_372,35866,36311,446,*,14,4.50362354710699,-0.966914450268165,-14.6756886021732,4.13308534821244e-05,0.000777678614008434,3396169,3396182,14
scaffold_207,27232,29665,2434,*,105,19.5262630434461,0.555568061346558,14.6565408180422,4.13308534821244e-05,0.000777678614008434,2025397,2025501,105
scaffold_36,97842,98486,645,*,20,12.5229594754451,-1.49388749400138,-14.6537282815651,4.13308534821244e-05,0.000777678614008434,3313429,3313448,20
scaffold_182,68128,68876,749,*,26,10.3644467422138,1.08450077393531,14.632593251705,4.13308534821244e-05,0.000777678614008434,1631104,1631129,26
scaffold_86,188799,189285,487,*,26,10.5507028267886,1.28932741800964,14.6233656830303,4.13308534821244e-05,0.000777678614008434,5111592,5111617,26
scaffold_71,649269,650492,1224,*,41,10.9130256302518,-0.880852591751652,-14.5847054013992,4.13308534821244e-05,0.000777678614008434,4747610,4747650,41
scaffold_157,346448,347071,624,*,32,6.06250506992142,-0.710342268058566,-14.5705205549355,4.13308534821244e-05,0.000777678614008434,1239722,1239753,32
scaffold_204,178294,179524,1231,*,80,20.979902306128,0.679015111106136,14.5647421969267,4.13308534821244e-05,0.000777678614008434,2007482,2007561,80
scaffold_9,55304,55921,618,*,26,5.63044327033583,-0.912316335975146,-14.5559318798916,4.13308534821244e-05,0.000777678614008434,5181211,5181236,26
scaffold_19,1515678,1516172,495,*,11,5.19238752500241,-1.85823183575068,-14.5504764134736,4.13308534821244e-05,0.000777678614008434,1739979,1739989,11
scaffold_621,139,741,603,*,38,15.8778972016432,1.05541423595224,14.5097956551827,4.13308534821244e-05,0.000777678614008434,4473267,4473304,38
scaffold_105,68957,69294,338,*,8,4.31152605843021,-1.59152915923089,-14.5054642458687,4.13308534821244e-05,0.000777678614008434,274724,274731,8
scaffold_1502,151,538,388,*,13,7.2446748142407,1.40631741472358,14.481657835524,4.13308534821244e-05,0.000777678614008434,1158068,1158080,13
scaffold_28,268157,269017,861,*,30,6.75907986742866,-0.606462010047471,-14.4524913382949,4.13308534821244e-05,0.000777678614008434,2708335,2708364,30
scaffold_56,383273,383780,508,*,22,7.83162837524929,-1.11421553489691,-14.4523118625101,4.13308534821244e-05,0.000777678614008434,4246172,4246193,22
scaffold_15,202295,203315,1021,*,41,13.2351025390534,0.875137330977013,14.4515181428893,4.13308534821244e-05,0.000777678614008434,1107961,1108001,41
scaffold_149,67659,68417,759,*,33,14.7175827027722,1.06957495625837,14.3534571475531,4.13308534821244e-05,0.000777678614008434,1091756,1091788,33
scaffold_5,1331217,1331646,430,*,26,10.2592994882679,-1.15111143984408,-14.3419118379722,4.13308534821244e-05,0.000777678614008434,3997210,3997235,26
scaffold_1,1588149,1588864,716,*,15,7.98907451038869,-1.52614788004692,-14.3299858892019,4.13308534821244e-05,0.000777678614008434,47445,47459,15
scaffold_16,512363,513230,868,*,34,7.22265179758453,-0.696986278369779,-14.3266091172321,4.13308534821244e-05,0.000777678614008434,1278316,1278349,34
scaffold_19,1075842,1076569,728,*,33,11.6070281060172,-0.98300944680644,-14.3208443436169,4.13308534821244e-05,0.000777678614008434,1728079,1728111,33
scaffold_134,435712,437581,1870,*,44,19.5534518602422,-1.09234392154891,-14.3200446603271,4.13308534821244e-05,0.000777678614008434,847574,847617,44
scaffold_88,429376,431817,2442,*,52,11.4607768391032,-0.703581182225528,-14.3173759432177,4.13308534821244e-05,0.000777678614008434,5155592,5155643,52
scaffold_143,371090,371690,601,*,9,3.93592342678193,-1.46938234082335,-14.2991954698776,4.13308534821244e-05,0.000777678614008434,1026222,1026230,9
scaffold_20,92452,92622,171,*,12,6.42228726517094,1.24982871872387,14.2972958267234,4.13308534821244e-05,0.000777678614008434,1930547,1930558,12
scaffold_12,1682208,1684200,1993,*,72,20.040776164512,-0.904514615481525,-14.2915496272667,4.13308534821244e-05,0.000777678614008434,591837,591908,72
scaffold_1,4238060,4238863,804,*,22,5.97087516094398,-0.834233625292522,-14.2788870958016,4.13308534821244e-05,0.000777678614008434,126489,126510,22
scaffold_10,1199320,1200066,747,*,30,7.24895885309741,-0.79494664131523,-14.2780293823752,4.13308534821244e-05,0.000777678614008434,167352,167381,30
scaffold_16,957802,958581,780,*,51,21.5854555297836,0.831667575988509,14.178793677716,4.13308534821244e-05,0.000777678614008434,1289379,1289429,51
scaffold_128,354928,356323,1396,*,47,20.1596954001997,-1.1611216999479,-14.1777347485957,4.13308534821244e-05,0.000777678614008434,716081,716127,47
scaffold_75,271747,272685,939,*,35,11.592436587299,-0.946927149621955,-14.1729197604107,4.13308534821244e-05,0.000777678614008434,4822812,4822846,35
scaffold_199,126995,127529,535,*,33,7.24945640970707,-0.802972824255397,-14.164359321392,4.13308534821244e-05,0.000777678614008434,1819986,1820018,33
scaffold_15,1214702,1214792,91,*,7,4.28309250471952,1.7404711790955,14.1255591942937,4.13308534821244e-05,0.000777678614008434,1131543,1131549,7
